# # k, P(k),P(k)-shotnoise, Nmodes
7.382778109483263407e-01 2.927438276226610014e+02 1.488160471286461473e+02 1.730960000000000000e+05
7.445474719729404667e-01 2.893123587387847806e+02 1.453845782447699264e+02 1.760120000000000000e+05
7.508031991267573035e-01 2.890326221163090281e+02 1.451048416222941739e+02 1.785720000000000000e+05
7.570835243855718044e-01 2.860838998110102693e+02 1.421561193169954151e+02 1.828740000000000000e+05
7.633725915964089115e-01 2.850514382708050789e+02 1.411236577767902247e+02 1.855560000000000000e+05
7.696559165320593365e-01 2.807929027523502441e+02 1.368651222583353899e+02 1.883800000000000000e+05
7.759472068200509165e-01 2.802799508019436416e+02 1.363521703079287875e+02 1.923620000000000000e+05
7.822420857509159164e-01 2.785241578096005242e+02 1.345963773155856700e+02 1.948920000000000000e+05
7.885501419914293653e-01 2.772811357138328958e+02 1.333533552198180416e+02 1.992240000000000000e+05
7.948038474963337041e-01 2.748606253912308262e+02 1.309328448972159720e+02 1.980620000000000000e+05
8.010520907109800470e-01 2.757972019381359701e+02 1.318694214441211159e+02 2.048760000000000000e+05
8.073556460726576400e-01 2.715015225537255787e+02 1.275737420597107246e+02 2.082080000000000000e+05
8.136472652876408640e-01 2.706724866336022615e+02 1.267447061395874073e+02 2.106380000000000000e+05
8.199328051877485812e-01 2.690741180115841757e+02 1.251463375175693216e+02 2.141460000000000000e+05
8.262092250684122119e-01 2.671247979922512741e+02 1.231970174982364199e+02 2.167700000000000000e+05
8.325052758042271739e-01 2.639507562199239032e+02 1.200229757259090491e+02 2.218980000000000000e+05
8.388116654351844836e-01 2.642321217206187498e+02 1.203043412266038956e+02 2.244000000000000000e+05
8.450849103364239667e-01 2.641702392144080704e+02 1.202424587203932163e+02 2.263060000000000000e+05
8.513462727474617742e-01 2.611455726306745078e+02 1.172177921366596536e+02 2.298240000000000000e+05
8.576284146508676987e-01 2.606881081030307428e+02 1.167603276090158886e+02 2.351900000000000000e+05
8.639203271423162578e-01 2.584687470045262216e+02 1.145409665105113675e+02 2.369960000000000000e+05
8.702001278720664645e-01 2.575898973973337434e+02 1.136621169033188892e+02 2.415680000000000000e+05
8.764772930847268828e-01 2.552837454556965326e+02 1.113559649616816785e+02 2.433340000000000000e+05
8.827715178895144676e-01 2.547139694149018680e+02 1.107861889208870139e+02 2.500580000000000000e+05
8.890536686845070813e-01 2.532215264943280033e+02 1.092937460003131491e+02 2.498260000000000000e+05
8.953222746762443673e-01 2.516162314832761240e+02 1.076884509892612698e+02 2.554020000000000000e+05
9.016064535102598088e-01 2.508249734182176667e+02 1.068971929242028125e+02 2.588880000000000000e+05
9.078934899700541461e-01 2.491160032483461464e+02 1.051882227543312922e+02 2.622400000000000000e+05
9.141879395382898066e-01 2.490628353279976466e+02 1.051350548339827924e+02 2.673220000000000000e+05
9.204870069999977478e-01 2.480627678740725912e+02 1.041349873800577370e+02 2.697820000000000000e+05
9.267634485314798498e-01 2.465869495547554493e+02 1.026591690607405951e+02 2.725480000000000000e+05
9.330398908859652840e-01 2.439581880183887392e+02 1.000304075243738851e+02 2.775220000000000000e+05
9.393419790538620751e-01 2.431693358452597806e+02 9.924155535124492644e+01 2.819920000000000000e+05
9.456138811139273015e-01 2.417750099258747412e+02 9.784722943185988697e+01 2.827100000000000000e+05
9.518752143586322045e-01 2.415845989663842772e+02 9.765681847236942303e+01 2.881620000000000000e+05
9.581565932480536896e-01 2.408059569435551168e+02 9.687817644954026264e+01 2.922500000000000000e+05
9.644556692432024736e-01 2.389597672142052716e+02 9.503198672019041737e+01 2.976780000000000000e+05
9.707473583964632002e-01 2.370302529909711495e+02 9.310247249695629534e+01 2.990500000000000000e+05
9.770167227541187716e-01 2.368944563052808974e+02 9.296667581126604318e+01 3.035940000000000000e+05
9.832935359933105968e-01 2.351073233204517692e+02 9.117954282643691499e+01 3.072180000000000000e+05
9.895688562506220753e-01 2.341462210347259827e+02 9.021844054071112851e+01 3.115520000000000000e+05
9.958591531227547478e-01 2.349580297063333489e+02 9.103024921231849476e+01 3.166400000000000000e+05
1.002144834684193242e+00 2.331836997533079625e+02 8.925591925929310833e+01 3.188100000000000000e+05
1.008417393835248532e+00 2.322475777140823823e+02 8.831979722006752809e+01 3.236140000000000000e+05
1.014706927655060875e+00 2.307071461934665422e+02 8.677936569945168799e+01 3.281640000000000000e+05
1.020995821536768045e+00 2.300412580636094333e+02 8.611347756959457911e+01 3.322980000000000000e+05
1.027277321758624629e+00 2.298457839943166903e+02 8.591800350030183608e+01 3.352360000000000000e+05
1.033577629488106275e+00 2.273718410300827486e+02 8.344406053606789442e+01 3.423460000000000000e+05
1.039864888978200064e+00 2.273324041272742022e+02 8.340462363325934803e+01 3.426120000000000000e+05
1.046131543025751398e+00 2.265319571142165671e+02 8.260417662020171292e+01 3.478080000000000000e+05
1.052408295901959612e+00 2.258191451430491554e+02 8.189136464903430124e+01 3.527840000000000000e+05
