# # k, P(k),P(k)-shotnoise, Nmodes
3.172476750734718465e-01 8.589315073166151706e+03 8.534755883592717510e+03 3.198000000000000000e+04
3.235400448401911655e-01 8.577800535003110781e+03 8.523241345429676585e+03 3.352600000000000000e+04
3.298240459879566155e-01 8.419427274181321991e+03 8.364868084607887795e+03 3.446400000000000000e+04
3.361484519828671913e-01 8.306611102452277919e+03 8.252051912878843723e+03 3.651400000000000000e+04
3.424245328606954630e-01 8.211665098831497744e+03 8.157105909258064457e+03 3.675800000000000000e+04
3.486779824429606656e-01 8.221938918012474460e+03 8.167379728439041173e+03 3.881000000000000000e+04
3.549863988041813134e-01 8.104096983251278289e+03 8.049537793677845002e+03 4.041000000000000000e+04
3.612333738091870750e-01 8.053838308568321736e+03 7.999279118994888449e+03 4.071400000000000000e+04
3.675042092955584372e-01 8.016592066053349299e+03 7.962032876479916013e+03 4.367000000000000000e+04
3.737994570270907757e-01 7.946003644365434411e+03 7.891444454792001125e+03 4.398600000000000000e+04
3.800864636623462745e-01 7.893033939344970349e+03 7.838474749771537063e+03 4.642800000000000000e+04
3.863718149601460539e-01 7.851068621911409537e+03 7.796509432337976250e+03 4.723600000000000000e+04
3.926652062093009543e-01 7.707186669691138377e+03 7.652627480117705090e+03 4.938600000000000000e+04
3.989690954083237040e-01 7.771578799033706673e+03 7.717019609460273387e+03 5.079600000000000000e+04
4.052314429539636831e-01 7.681420848132835090e+03 7.626861658559401803e+03 5.174000000000000000e+04
4.115238727386639761e-01 7.728753446389467172e+03 7.674194256816033885e+03 5.460200000000000000e+04
4.178033403078543762e-01 7.559926644368001689e+03 7.505367454794568403e+03 5.484400000000000000e+04
4.240515472996450597e-01 7.566025140662050035e+03 7.511465951088616748e+03 5.723200000000000000e+04
4.303677505012359350e-01 7.473463760187310982e+03 7.418904570613877695e+03 5.964800000000000000e+04
4.366726307806358953e-01 7.434514165534249514e+03 7.379954975960816228e+03 6.038400000000000000e+04
4.429228297480427012e-01 7.534337014219791854e+03 7.479777824646358567e+03 6.217000000000000000e+04
4.491736915552866916e-01 7.429479128068496721e+03 7.374919938495063434e+03 6.383200000000000000e+04
4.554569188183393291e-01 7.370302705193593283e+03 7.315743515620159997e+03 6.627200000000000000e+04
4.617788911268420060e-01 7.367127969702928567e+03 7.312568780129495281e+03 6.860400000000000000e+04
4.680995906845802912e-01 7.304952469376048612e+03 7.250393279802615325e+03 6.982400000000000000e+04
4.743866829976556287e-01 7.363684070441395306e+03 7.309124880867962020e+03 7.159800000000000000e+04
4.806701266904181979e-01 7.246237835010811068e+03 7.191678645437377781e+03 7.363400000000000000e+04
4.869464029839004060e-01 7.200324244971859116e+03 7.145765055398425829e+03 7.514600000000000000e+04
4.932051255392171929e-01 7.145050360672837087e+03 7.090491171099403800e+03 7.732800000000000000e+04
4.994696626648479909e-01 7.154014451149480010e+03 7.099455261576046723e+03 7.884800000000000000e+04
5.057193073175597631e-01 7.052665568400497250e+03 6.998106378827063963e+03 8.116400000000000000e+04
5.119989495044070527e-01 7.042572162331804975e+03 6.988012972758371689e+03 8.364400000000000000e+04
5.183159826466314790e-01 7.066965217561939426e+03 7.012406027988506139e+03 8.615600000000000000e+04
5.246107092885408107e-01 7.039291396603947760e+03 6.984732207030514473e+03 8.741000000000000000e+04
5.308819677746196009e-01 7.021034751318682538e+03 6.966475561745249252e+03 8.933800000000000000e+04
5.371663275127862569e-01 6.968415683953329790e+03 6.913856494379896503e+03 9.246200000000000000e+04
5.434900758720350167e-01 6.932041123773055006e+03 6.877481934199621719e+03 9.450400000000000000e+04
5.497699542502575420e-01 6.958636330452342918e+03 6.904077140878909631e+03 9.565800000000000000e+04
5.560083363989032357e-01 6.911967756353818913e+03 6.857408566780385627e+03 9.759800000000000000e+04
5.623114537777685884e-01 6.895668938180734585e+03 6.841109748607301299e+03 1.019620000000000000e+05
