# # k, P(k),P(k)-shotnoise, Nmodes
3.172476750734718465e-01 8.854330828123795527e+02 7.439852853950466169e+02 3.198000000000000000e+04
3.235400448401911655e-01 8.653010657966035524e+02 7.238532683792706166e+02 3.352600000000000000e+04
3.298240459879566155e-01 8.367928297503563044e+02 6.953450323330233687e+02 3.446400000000000000e+04
3.361484519828671913e-01 7.998842705715447892e+02 6.584364731542118534e+02 3.651400000000000000e+04
3.424245328606954630e-01 7.885756817255968372e+02 6.471278843082639014e+02 3.675800000000000000e+04
3.486779824429606656e-01 7.716858840015275973e+02 6.302380865841946616e+02 3.881000000000000000e+04
3.549863988041813134e-01 7.523826992776388352e+02 6.109349018603058994e+02 4.041000000000000000e+04
3.612333738091870750e-01 7.441153441431471265e+02 6.026675467258141907e+02 4.071400000000000000e+04
3.675042092955584372e-01 7.211300463505787093e+02 5.796822489332457735e+02 4.367000000000000000e+04
3.737994570270907757e-01 7.053633158793666098e+02 5.639155184620336740e+02 4.398600000000000000e+04
3.800864636623462745e-01 6.892935678236824515e+02 5.478457704063495157e+02 4.642800000000000000e+04
3.863718149601460539e-01 6.744563330361364706e+02 5.330085356188035348e+02 4.723600000000000000e+04
3.926652062093009543e-01 6.550807851009737988e+02 5.136329876836408630e+02 4.938600000000000000e+04
3.989690954083237040e-01 6.400249847489825470e+02 4.985771873316496112e+02 5.079600000000000000e+04
4.052314429539636831e-01 6.317092509189233169e+02 4.902614535015903812e+02 5.174000000000000000e+04
4.115238727386639761e-01 6.156002094213737337e+02 4.741524120040407979e+02 5.460200000000000000e+04
4.178033403078543762e-01 6.026139476155473176e+02 4.611661501982143818e+02 5.484400000000000000e+04
4.240515472996450597e-01 5.984258213599981673e+02 4.569780239426652315e+02 5.723200000000000000e+04
4.303677505012359350e-01 5.877481868058566761e+02 4.463003893885237403e+02 5.964800000000000000e+04
4.366726307806358953e-01 5.745001016474229800e+02 4.330523042300900443e+02 6.038400000000000000e+04
4.429228297480427012e-01 5.706844908212767677e+02 4.292366934039438320e+02 6.217000000000000000e+04
4.491736915552866916e-01 5.581046508371542814e+02 4.166568534198213456e+02 6.383200000000000000e+04
4.554569188183393291e-01 5.478368393377471648e+02 4.063890419204142290e+02 6.627200000000000000e+04
4.617788911268420060e-01 5.385040934197580782e+02 3.970562960024251424e+02 6.860400000000000000e+04
4.680995906845802912e-01 5.258615139776649130e+02 3.844137165603319772e+02 6.982400000000000000e+04
4.743866829976556287e-01 5.174437685250441064e+02 3.759959711077111706e+02 7.159800000000000000e+04
4.806701266904181979e-01 5.069865669977920675e+02 3.655387695804590749e+02 7.363400000000000000e+04
4.869464029839004060e-01 5.032072712584915735e+02 3.617594738411586377e+02 7.514600000000000000e+04
4.932051255392171929e-01 4.943183548130793952e+02 3.528705573957464594e+02 7.732800000000000000e+04
4.994696626648479909e-01 4.874724399428358197e+02 3.460246425255028271e+02 7.884800000000000000e+04
5.057193073175597631e-01 4.775604626718692884e+02 3.361126652545362958e+02 8.116400000000000000e+04
5.119989495044070527e-01 4.758743175048903140e+02 3.344265200875573782e+02 8.364400000000000000e+04
5.183159826466314790e-01 4.665026520993467329e+02 3.250548546820137972e+02 8.615600000000000000e+04
5.246107092885408107e-01 4.577971066500069810e+02 3.163493092326740452e+02 8.741000000000000000e+04
5.308819677746196009e-01 4.499739935350313544e+02 3.085261961176984187e+02 8.933800000000000000e+04
5.371663275127862569e-01 4.447752296083885994e+02 3.033274321910556637e+02 9.246200000000000000e+04
5.434900758720350167e-01 4.435682739869288298e+02 3.021204765695958940e+02 9.450400000000000000e+04
5.497699542502575420e-01 4.325373759816504844e+02 2.910895785643175486e+02 9.565800000000000000e+04
5.560083363989032357e-01 4.277547676268166015e+02 2.863069702094836657e+02 9.759800000000000000e+04
5.623114537777685884e-01 4.208488562314021237e+02 2.794010588140691880e+02 1.019620000000000000e+05
5.686318313430648308e-01 4.176618384277111886e+02 2.762140410103781960e+02 1.029860000000000000e+05
5.748997298340194906e-01 4.143850322690946655e+02 2.729372348517616729e+02 1.044280000000000000e+05
5.811784316152807106e-01 4.087451880590644464e+02 2.672973906417314538e+02 1.082760000000000000e+05
5.874623501555152894e-01 4.035668509014090546e+02 2.621190534840760620e+02 1.091300000000000000e+05
5.937358705487374433e-01 3.990307411441146996e+02 2.575829437267817639e+02 1.124920000000000000e+05
