# # k, P(k),P(k)-shotnoise, Nmodes
9.832935359933105968e-01 2.650794827274909835e+02 1.274901821117926204e+02 3.072180000000000000e+05
9.895688562506220753e-01 2.633385846675763560e+02 1.257492840518779929e+02 3.115520000000000000e+05
9.958591531227547478e-01 2.625272886135995805e+02 1.249379879979012173e+02 3.166400000000000000e+05
1.002144834684193242e+00 2.601822017160379801e+02 1.225929011003396170e+02 3.188100000000000000e+05
1.008417393835248532e+00 2.586411266276919036e+02 1.210518260119935405e+02 3.236140000000000000e+05
1.014706927655060875e+00 2.575601909594882954e+02 1.199708903437899323e+02 3.281640000000000000e+05
1.020995821536768045e+00 2.567248495418022003e+02 1.191355489261038372e+02 3.322980000000000000e+05
1.027277321758624629e+00 2.556520630035623469e+02 1.180627623878639838e+02 3.352360000000000000e+05
1.033577629488106275e+00 2.539693455378000237e+02 1.163800449221016606e+02 3.423460000000000000e+05
1.039864888978200064e+00 2.532517526303689408e+02 1.156624520146705777e+02 3.426120000000000000e+05
1.046131543025751398e+00 2.515753753290476027e+02 1.139860747133492396e+02 3.478080000000000000e+05
1.052408295901959612e+00 2.502680560316222795e+02 1.126787554159239164e+02 3.527840000000000000e+05
1.058689459756216866e+00 2.491751695465636942e+02 1.115858689308653311e+02 3.560160000000000000e+05
1.064973476309879485e+00 2.489483179830402548e+02 1.113590173673418917e+02 3.617640000000000000e+05
1.071260228414355753e+00 2.477871443864528089e+02 1.101978437707544458e+02 3.652380000000000000e+05
1.077547506273993205e+00 2.464189941990313457e+02 1.088296935833329826e+02 3.698500000000000000e+05
1.083834594251098959e+00 2.453362475693023725e+02 1.077469469536040094e+02 3.744400000000000000e+05
1.090123338753580029e+00 2.428029100474508368e+02 1.052136094317524737e+02 3.779460000000000000e+05
1.096402047628067811e+00 2.423543007691417586e+02 1.047650001534433954e+02 3.828480000000000000e+05
1.102686734177269923e+00 2.408297127059813931e+02 1.032404120902830300e+02 3.870080000000000000e+05
1.108974905272321010e+00 2.405013579398854517e+02 1.029120573241870886e+02 3.918200000000000000e+05
1.115240505002667248e+00 2.385598794090046795e+02 1.009705787933063164e+02 3.936120000000000000e+05
1.121510968507875017e+00 2.377294331348460332e+02 1.001401325191476701e+02 4.007140000000000000e+05
1.127801000874616433e+00 2.371351057738484087e+02 9.954580515815004560e+01 4.057940000000000000e+05
1.134097027651290723e+00 2.360950193722436268e+02 9.850571875654526366e+01 4.099040000000000000e+05
1.140372932967484543e+00 2.346014760019328094e+02 9.701217538623444625e+01 4.124720000000000000e+05
1.146644399550673876e+00 2.340390365389324074e+02 9.644973592323404432e+01 4.185640000000000000e+05
1.152943533572619028e+00 2.332705721339199556e+02 9.568127151822159249e+01 4.250340000000000000e+05
1.159234629937837324e+00 2.333905591245366509e+02 9.580125850883828775e+01 4.270920000000000000e+05
1.165519427699577504e+00 2.315648279767574422e+02 9.397552736105907911e+01 4.331780000000000000e+05
1.171801113533186500e+00 2.305207410442655487e+02 9.293144042856718556e+01 4.360040000000000000e+05
1.178090415441370498e+00 2.300283623070550050e+02 9.243906169135664186e+01 4.439880000000000000e+05
