# # k, P(k),P(k)-shotnoise, Nmodes
2.606536864982170187e-01 9.176058962803672330e+03 9.123739042606201110e+03 2.174800000000000000e+04
2.669516384221341521e-01 9.289936014370674457e+03 9.237616094173203237e+03 2.269000000000000000e+04
2.732605699623428253e-01 9.304511747083881346e+03 9.252191826886410126e+03 2.392000000000000000e+04
2.796050098145749785e-01 9.082519414247844907e+03 9.030199494050373687e+03 2.524600000000000000e+04
2.858914879318384394e-01 9.066225774793803794e+03 9.013905854596332574e+03 2.568400000000000000e+04
2.920995948224677785e-01 8.922032049767607532e+03 8.869712129570136312e+03 2.681600000000000000e+04
2.983507476243664192e-01 8.985376058719626599e+03 8.933056138522155379e+03 2.844000000000000000e+04
3.046505408519667446e-01 8.926993300571877626e+03 8.874673380374406406e+03 2.953800000000000000e+04
3.109471038444538982e-01 8.773881112466546256e+03 8.721561192269075036e+03 3.094400000000000000e+04
3.172476750734718465e-01 8.808513804546693791e+03 8.756193884349222571e+03 3.198000000000000000e+04
3.235400448401911655e-01 8.740476458187307799e+03 8.688156537989836579e+03 3.352600000000000000e+04
3.298240459879566155e-01 8.732179493980400366e+03 8.679859573782929147e+03 3.446400000000000000e+04
3.361484519828671913e-01 8.840831481386065207e+03 8.788511561188593987e+03 3.651400000000000000e+04
3.424245328606954630e-01 8.680464836253770045e+03 8.628144916056298825e+03 3.675800000000000000e+04
3.486779824429606656e-01 8.671234787268902437e+03 8.618914867071431217e+03 3.881000000000000000e+04
3.549863988041813134e-01 8.632006063322780392e+03 8.579686143125309172e+03 4.041000000000000000e+04
3.612333738091870750e-01 8.495470019954864256e+03 8.443150099757393036e+03 4.071400000000000000e+04
3.675042092955584372e-01 8.528416673509078464e+03 8.476096753311607245e+03 4.367000000000000000e+04
3.737994570270907757e-01 8.461707795625545259e+03 8.409387875428074040e+03 4.398600000000000000e+04
3.800864636623462745e-01 8.435558376422026413e+03 8.383238456224555193e+03 4.642800000000000000e+04
3.863718149601460539e-01 8.477005651869072608e+03 8.424685731671601388e+03 4.723600000000000000e+04
3.926652062093009543e-01 8.376611557046926464e+03 8.324291636849455244e+03 4.938600000000000000e+04
3.989690954083237040e-01 8.371283532404730067e+03 8.318963612207258848e+03 5.079600000000000000e+04
4.052314429539636831e-01 8.365657362422794904e+03 8.313337442225323684e+03 5.174000000000000000e+04
4.115238727386639761e-01 8.275551081642515783e+03 8.223231161445044563e+03 5.460200000000000000e+04
4.178033403078543762e-01 8.315988292455798728e+03 8.263668372258327508e+03 5.484400000000000000e+04
