# # k, P(k),P(k)-shotnoise, Nmodes
1.412227094847550990e-01 5.476547205762530211e+03 5.377065733042787542e+03 6.380000000000000000e+03
1.475340300674937433e-01 5.205179064921673671e+03 5.105697592201931002e+03 6.966000000000000000e+03
1.538209950420127425e-01 4.819001489699463491e+03 4.719520016979720822e+03 7.448000000000000000e+03
1.600939799861342827e-01 4.506472073809996800e+03 4.406990601090254131e+03 8.252000000000000000e+03
1.664990542498203663e-01 4.375940040142209909e+03 4.276458567422467240e+03 9.032000000000000000e+03
1.728174132941030505e-01 4.224713877964949461e+03 4.125232405245206792e+03 9.454000000000000000e+03
1.789853057753862942e-01 3.995914284029701321e+03 3.896432811309958652e+03 9.842000000000000000e+03
1.852733873177464519e-01 3.887989865197424933e+03 3.788508392477682264e+03 1.128200000000000000e+04
1.915389716053957636e-01 3.645492420836330894e+03 3.546010948116588224e+03 1.131800000000000000e+04
1.978093968968032412e-01 3.522280380973895262e+03 3.422798908254152593e+03 1.268400000000000000e+04
2.041363739541903199e-01 3.452905091906804046e+03 3.353423619187061377e+03 1.328000000000000000e+04
2.104329801156032687e-01 3.262973465123494407e+03 3.163491992403751738e+03 1.408200000000000000e+04
2.167445339963977868e-01 3.198974390990750635e+03 3.099492918271007966e+03 1.513400000000000000e+04
2.230182219099299812e-01 3.053047679544142284e+03 2.953566206824399615e+03 1.561200000000000000e+04
2.292666160073620063e-01 2.923149032850354615e+03 2.823667560130611946e+03 1.673000000000000000e+04
2.355414553524693422e-01 2.889754554279646982e+03 2.790273081559904313e+03 1.765200000000000000e+04
2.418784335992887613e-01 2.815943821164581550e+03 2.716462348444838881e+03 1.889000000000000000e+04
2.481481271052154158e-01 2.646341622413650839e+03 2.546860149693908170e+03 1.929800000000000000e+04
2.543650879168818379e-01 2.576768781717501952e+03 2.477287308997759283e+03 2.047000000000000000e+04
2.606536864982170187e-01 2.541495518510488637e+03 2.442014045790745968e+03 2.174800000000000000e+04
2.669516384221341521e-01 2.474806536403807058e+03 2.375325063684064389e+03 2.269000000000000000e+04
2.732605699623428253e-01 2.441669325671643492e+03 2.342187852951900823e+03 2.392000000000000000e+04
2.796050098145749785e-01 2.341986531471444323e+03 2.242505058751701654e+03 2.524600000000000000e+04
2.858914879318384394e-01 2.295369614671373711e+03 2.195888141951631042e+03 2.568400000000000000e+04
2.920995948224677785e-01 2.261410169149111425e+03 2.161928696429368756e+03 2.681600000000000000e+04
2.983507476243664192e-01 2.240407325675657376e+03 2.140925852955914706e+03 2.844000000000000000e+04
3.046505408519667446e-01 2.147563693541152134e+03 2.048082220821409464e+03 2.953800000000000000e+04
3.109471038444538982e-01 2.071956346874486371e+03 1.972474874154743475e+03 3.094400000000000000e+04
3.172476750734718465e-01 2.067330477026738663e+03 1.967849004306995766e+03 3.198000000000000000e+04
3.235400448401911655e-01 2.030472965358485908e+03 1.930991492638743011e+03 3.352600000000000000e+04
3.298240459879566155e-01 1.990624815661796220e+03 1.891143342942053323e+03 3.446400000000000000e+04
3.361484519828671913e-01 1.933469602368962796e+03 1.833988129649219900e+03 3.651400000000000000e+04
3.424245328606954630e-01 1.924905542820483561e+03 1.825424070100740664e+03 3.675800000000000000e+04
3.486779824429606656e-01 1.876330440428195743e+03 1.776848967708452847e+03 3.881000000000000000e+04
3.549863988041813134e-01 1.843060633418637053e+03 1.743579160698894157e+03 4.041000000000000000e+04
3.612333738091870750e-01 1.824010723734865451e+03 1.724529251015122554e+03 4.071400000000000000e+04
3.675042092955584372e-01 1.779947229334769418e+03 1.680465756615026521e+03 4.367000000000000000e+04
3.737994570270907757e-01 1.754885603440971863e+03 1.655404130721228967e+03 4.398600000000000000e+04
3.800864636623462745e-01 1.744166609987829133e+03 1.644685137268086237e+03 4.642800000000000000e+04
3.863718149601460539e-01 1.715991440003966773e+03 1.616509967284223876e+03 4.723600000000000000e+04
3.926652062093009543e-01 1.671409642755400682e+03 1.571928170035657786e+03 4.938600000000000000e+04
3.989690954083237040e-01 1.653950336730513527e+03 1.554468864010770631e+03 5.079600000000000000e+04
4.052314429539636831e-01 1.623091705247524260e+03 1.523610232527781363e+03 5.174000000000000000e+04
4.115238727386639761e-01 1.603941716422976469e+03 1.504460243703233573e+03 5.460200000000000000e+04
4.178033403078543762e-01 1.584231031593622220e+03 1.484749558873879323e+03 5.484400000000000000e+04
