# # k, P(k),P(k)-shotnoise, Nmodes
4.240515472996450597e-01 4.883364941259191028e+02 3.490102563063412617e+02 5.723200000000000000e+04
4.303677505012359350e-01 4.851028951862403460e+02 3.457766573666625618e+02 5.964800000000000000e+04
4.366726307806358953e-01 4.723765713722063424e+02 3.330503335526285582e+02 6.038400000000000000e+04
4.429228297480427012e-01 4.719172505060504363e+02 3.325910126864725953e+02 6.217000000000000000e+04
4.491736915552866916e-01 4.622790021288307685e+02 3.229527643092529843e+02 6.383200000000000000e+04
4.554569188183393291e-01 4.505781185624283012e+02 3.112518807428505170e+02 6.627200000000000000e+04
4.617788911268420060e-01 4.442370284749961797e+02 3.049107906554183955e+02 6.860400000000000000e+04
4.680995906845802912e-01 4.375360342921437677e+02 2.982097964725659267e+02 6.982400000000000000e+04
4.743866829976556287e-01 4.271795043615675809e+02 2.878532665419897967e+02 7.159800000000000000e+04
4.806701266904181979e-01 4.239788462926705392e+02 2.846526084730927550e+02 7.363400000000000000e+04
4.869464029839004060e-01 4.172410568865553273e+02 2.779148190669775431e+02 7.514600000000000000e+04
4.932051255392171929e-01 4.144758757591091580e+02 2.751496379395313170e+02 7.732800000000000000e+04
4.994696626648479909e-01 4.073600440741167290e+02 2.680338062545389448e+02 7.884800000000000000e+04
5.057193073175597631e-01 4.001289131369894108e+02 2.608026753174116266e+02 8.116400000000000000e+04
5.119989495044070527e-01 3.998164660463479549e+02 2.604902282267701139e+02 8.364400000000000000e+04
5.183159826466314790e-01 3.926406071690683461e+02 2.533143693494905335e+02 8.615600000000000000e+04
5.246107092885408107e-01 3.855610086320050414e+02 2.462347708124272287e+02 8.741000000000000000e+04
5.308819677746196009e-01 3.786100526834923699e+02 2.392838148639145572e+02 8.933800000000000000e+04
5.371663275127862569e-01 3.780969373009012884e+02 2.387706994813234758e+02 9.246200000000000000e+04
5.434900758720350167e-01 3.741939708971024174e+02 2.348677330775246048e+02 9.450400000000000000e+04
5.497699542502575420e-01 3.693891556314974309e+02 2.300629178119196183e+02 9.565800000000000000e+04
5.560083363989032357e-01 3.623428222006909891e+02 2.230165843811131765e+02 9.759800000000000000e+04
5.623114537777685884e-01 3.600608112060683084e+02 2.207345733864904957e+02 1.019620000000000000e+05
5.686318313430648308e-01 3.540796373432577298e+02 2.147533995236799171e+02 1.029860000000000000e+05
5.748997298340194906e-01 3.534604038029821140e+02 2.141341659834043014e+02 1.044280000000000000e+05
5.811784316152807106e-01 3.500769045609079626e+02 2.107506667413301500e+02 1.082760000000000000e+05
5.874623501555152894e-01 3.460128976566563210e+02 2.066866598370785084e+02 1.091300000000000000e+05
5.937358705487374433e-01 3.401588565797421779e+02 2.008326187601643653e+02 1.124920000000000000e+05
6.000132321575981642e-01 3.383076283489882599e+02 1.989813905294104472e+02 1.142380000000000000e+05
6.062764279011477742e-01 3.351337811230426382e+02 1.958075433034648256e+02 1.165200000000000000e+05
6.125579126729602253e-01 3.322297844959685449e+02 1.929035466763907323e+02 1.198680000000000000e+05
6.188758883571132685e-01 3.284709548175164286e+02 1.891447169979386160e+02 1.227600000000000000e+05
6.251574688191492424e-01 3.251831970657463557e+02 1.858569592461685431e+02 1.235740000000000000e+05
6.314078328527679140e-01 3.234781542253785460e+02 1.841519164058007334e+02 1.265060000000000000e+05
6.377090179731219610e-01 3.189874524222231003e+02 1.796612146026452876e+02 1.303720000000000000e+05
6.440064460832264359e-01 3.182156326003441791e+02 1.788893947807663665e+02 1.318120000000000000e+05
6.502830651582106603e-01 3.113518766763338590e+02 1.720256388567560464e+02 1.344920000000000000e+05
6.565805265356863263e-01 3.128522541916424302e+02 1.735260163720646176e+02 1.379620000000000000e+05
6.628599596871522781e-01 3.095350421476375118e+02 1.702088043280596992e+02 1.390120000000000000e+05
6.691298853551562731e-01 3.045353681911174704e+02 1.652091303715396577e+02 1.425480000000000000e+05
6.754222718254296876e-01 3.036033773931780502e+02 1.642771395736002376e+02 1.458880000000000000e+05
6.816939054591842906e-01 2.993746155788283545e+02 1.600483777592505419e+02 1.465620000000000000e+05
6.879709791718701117e-01 3.003623487684493512e+02 1.610361109488715385e+02 1.517500000000000000e+05
6.942614105711022443e-01 2.973533816937942902e+02 1.580271438742164776e+02 1.526260000000000000e+05
7.005365424756659909e-01 2.922236303315099235e+02 1.528973925119321109e+02 1.565860000000000000e+05
7.068233029523925959e-01 2.935916255864952973e+02 1.542653877669174847e+02 1.590780000000000000e+05
7.131225830129004351e-01 2.897418937787774098e+02 1.504156559591995972e+02 1.622900000000000000e+05
7.194106404935602939e-01 2.874945471868215350e+02 1.481683093672437224e+02 1.647700000000000000e+05
7.256916467573152341e-01 2.857441895221574555e+02 1.464179517025796429e+02 1.674660000000000000e+05
7.319862263035085137e-01 2.829023001739018355e+02 1.435760623543240229e+02 1.713680000000000000e+05
7.382778109483263407e-01 2.820223330160866908e+02 1.426960951965088782e+02 1.730960000000000000e+05
7.445474719729404667e-01 2.790613990280153871e+02 1.397351612084375745e+02 1.760120000000000000e+05
7.508031991267573035e-01 2.785186136615058672e+02 1.391923758419280546e+02 1.785720000000000000e+05
7.570835243855718044e-01 2.748377531308264565e+02 1.355115153112486439e+02 1.828740000000000000e+05
7.633725915964089115e-01 2.734436656629613367e+02 1.341174278433835241e+02 1.855560000000000000e+05
7.696559165320593365e-01 2.707657887943859123e+02 1.314395509748080997e+02 1.883800000000000000e+05
7.759472068200509165e-01 2.688582794339284874e+02 1.295320416143506748e+02 1.923620000000000000e+05
7.822420857509159164e-01 2.678228651281180532e+02 1.284966273085402406e+02 1.948920000000000000e+05
7.885501419914293653e-01 2.664415008844952126e+02 1.271152630649174000e+02 1.992240000000000000e+05
7.948038474963337041e-01 2.639067100730104016e+02 1.245804722534325890e+02 1.980620000000000000e+05
8.010520907109800470e-01 2.649432440149894887e+02 1.256170061954116761e+02 2.048760000000000000e+05
8.073556460726576400e-01 2.616498097038689252e+02 1.223235718842911126e+02 2.082080000000000000e+05
8.136472652876408640e-01 2.594188919546293732e+02 1.200926541350515606e+02 2.106380000000000000e+05
8.199328051877485812e-01 2.589743306277318879e+02 1.196480928081540753e+02 2.141460000000000000e+05
8.262092250684122119e-01 2.577844407603434433e+02 1.184582029407656307e+02 2.167700000000000000e+05
8.325052758042271739e-01 2.559052554704814213e+02 1.165790176509036087e+02 2.218980000000000000e+05
8.388116654351844836e-01 2.536945692721424166e+02 1.143683314525646040e+02 2.244000000000000000e+05
8.450849103364239667e-01 2.526609887577032509e+02 1.133347509381254383e+02 2.263060000000000000e+05
8.513462727474617742e-01 2.502263324484567306e+02 1.109000946288789180e+02 2.298240000000000000e+05
8.576284146508676987e-01 2.501068138930444889e+02 1.107805760734666762e+02 2.351900000000000000e+05
8.639203271423162578e-01 2.488964586254040796e+02 1.095702208058262670e+02 2.369960000000000000e+05
8.702001278720664645e-01 2.478832442890058019e+02 1.085570064694279893e+02 2.415680000000000000e+05
8.764772930847268828e-01 2.464983783275571341e+02 1.071721405079793215e+02 2.433340000000000000e+05
8.827715178895144676e-01 2.450327508374568595e+02 1.057065130178790469e+02 2.500580000000000000e+05
8.890536686845070813e-01 2.432957991643847322e+02 1.039695613448069196e+02 2.498260000000000000e+05
8.953222746762443673e-01 2.420783329009333329e+02 1.027520950813555203e+02 2.554020000000000000e+05
9.016064535102598088e-01 2.425003219437231792e+02 1.031740841241453666e+02 2.588880000000000000e+05
9.078934899700541461e-01 2.407090564571677760e+02 1.013828186375899634e+02 2.622400000000000000e+05
9.141879395382898066e-01 2.399019744827651266e+02 1.005757366631873140e+02 2.673220000000000000e+05
9.204870069999977478e-01 2.386604741679518327e+02 9.933423634837402005e+01 2.697820000000000000e+05
9.267634485314798498e-01 2.367305322792285551e+02 9.740429445965074251e+01 2.725480000000000000e+05
9.330398908859652840e-01 2.354590648788332601e+02 9.613282705925544747e+01 2.775220000000000000e+05
9.393419790538620751e-01 2.345656003852421634e+02 9.523936256566435077e+01 2.819920000000000000e+05
9.456138811139273015e-01 2.326917153945808536e+02 9.336547757500304101e+01 2.827100000000000000e+05
9.518752143586322045e-01 2.317746647795137278e+02 9.244842695993591519e+01 2.881620000000000000e+05
9.581565932480536896e-01 2.319003580333458956e+02 9.257412021376808298e+01 2.922500000000000000e+05
9.644556692432024736e-01 2.305856957610595828e+02 9.125945794148177015e+01 2.976780000000000000e+05
9.707473583964632002e-01 2.275397504620009954e+02 8.821351264242318280e+01 2.990500000000000000e+05
9.770167227541187716e-01 2.284862771616792259e+02 8.916003934210141324e+01 3.035940000000000000e+05
9.832935359933105968e-01 2.276140989402048547e+02 8.828786112062704206e+01 3.072180000000000000e+05
9.895688562506220753e-01 2.263632345227701137e+02 8.703699670319230108e+01 3.115520000000000000e+05
9.958591531227547478e-01 2.257443983249915789e+02 8.641816050541376626e+01 3.166400000000000000e+05
1.002144834684193242e+00 2.248423981827205012e+02 8.551616036314268854e+01 3.188100000000000000e+05
1.008417393835248532e+00 2.227658781183921235e+02 8.343964029881431088e+01 3.236140000000000000e+05
1.014706927655060875e+00 2.235028362784368028e+02 8.417659845885899017e+01 3.281640000000000000e+05
1.020995821536768045e+00 2.215860051098948986e+02 8.225976729031708601e+01 3.322980000000000000e+05
1.027277321758624629e+00 2.210817777654766019e+02 8.175553994589878926e+01 3.352360000000000000e+05
1.033577629488106275e+00 2.203006507578261335e+02 8.097441293824832087e+01 3.423460000000000000e+05
