# # k, P(k),P(k)-shotnoise, Nmodes
2.041363739541903199e-01 1.881223003823792169e+03 1.738291393597721481e+03 1.328000000000000000e+04
2.104329801156032687e-01 1.782476652147539880e+03 1.639545041921469192e+03 1.408200000000000000e+04
2.167445339963977868e-01 1.710185077737771962e+03 1.567253467511701274e+03 1.513400000000000000e+04
2.230182219099299812e-01 1.640985103886528123e+03 1.498053493660457434e+03 1.561200000000000000e+04
2.292666160073620063e-01 1.547976290720133875e+03 1.405044680494063186e+03 1.673000000000000000e+04
2.355414553524693422e-01 1.506766249552550335e+03 1.363834639326479646e+03 1.765200000000000000e+04
2.418784335992887613e-01 1.446163555775037821e+03 1.303231945548967133e+03 1.889000000000000000e+04
2.481481271052154158e-01 1.366228177441979597e+03 1.223296567215908908e+03 1.929800000000000000e+04
2.543650879168818379e-01 1.313956606861562022e+03 1.171024996635491334e+03 2.047000000000000000e+04
2.606536864982170187e-01 1.288849965809002015e+03 1.145918355582931326e+03 2.174800000000000000e+04
2.669516384221341521e-01 1.231123482273272430e+03 1.088191872047201741e+03 2.269000000000000000e+04
2.732605699623428253e-01 1.187469857582025497e+03 1.044538247355954809e+03 2.392000000000000000e+04
2.796050098145749785e-01 1.151012841188128732e+03 1.008081230962058044e+03 2.524600000000000000e+04
2.858914879318384394e-01 1.111085936105724159e+03 9.681543258796534701e+02 2.568400000000000000e+04
2.920995948224677785e-01 1.073684257969741111e+03 9.307526477436704226e+02 2.681600000000000000e+04
2.983507476243664192e-01 1.070650067336178154e+03 9.277184571101074653e+02 2.844000000000000000e+04
3.046505408519667446e-01 1.023061805404195866e+03 8.801301951781251773e+02 2.953800000000000000e+04
3.109471038444538982e-01 9.762477226833111672e+02 8.333161124572404788e+02 3.094400000000000000e+04
3.172476750734718465e-01 9.630144190962080302e+02 8.200828088701373417e+02 3.198000000000000000e+04
3.235400448401911655e-01 9.365884068902623767e+02 7.936567966641916883e+02 3.352600000000000000e+04
3.298240459879566155e-01 9.148139837363351035e+02 7.718823735102644150e+02 3.446400000000000000e+04
3.361484519828671913e-01 8.723348005147261119e+02 7.294031902886554235e+02 3.651400000000000000e+04
3.424245328606954630e-01 8.615795434664779577e+02 7.186479332404073830e+02 3.675800000000000000e+04
3.486779824429606656e-01 8.429404394657099147e+02 7.000088292396392262e+02 3.881000000000000000e+04
3.549863988041813134e-01 8.184576612500965211e+02 6.755260510240259464e+02 4.041000000000000000e+04
3.612333738091870750e-01 8.159568518695675721e+02 6.730252416434968836e+02 4.071400000000000000e+04
3.675042092955584372e-01 7.837688069363592831e+02 6.408371967102887083e+02 4.367000000000000000e+04
3.737994570270907757e-01 7.753275626046505522e+02 6.323959523785799774e+02 4.398600000000000000e+04
3.800864636623462745e-01 7.486297289190473521e+02 6.056981186929767773e+02 4.642800000000000000e+04
3.863718149601460539e-01 7.332852377647085405e+02 5.903536275386379657e+02 4.723600000000000000e+04
3.926652062093009543e-01 7.133351812689670624e+02 5.704035710428963739e+02 4.938600000000000000e+04
3.989690954083237040e-01 6.986428168200139908e+02 5.557112065939434160e+02 5.079600000000000000e+04
4.052314429539636831e-01 6.850666744506979740e+02 5.421350642246272855e+02 5.174000000000000000e+04
4.115238727386639761e-01 6.620597378477456232e+02 5.191281276216750484e+02 5.460200000000000000e+04
4.178033403078543762e-01 6.550565797039458857e+02 5.121249694778753110e+02 5.484400000000000000e+04
4.240515472996450597e-01 6.433818101829750731e+02 5.004501999569044415e+02 5.723200000000000000e+04
4.303677505012359350e-01 6.386249236684419657e+02 4.956933134423713341e+02 5.964800000000000000e+04
4.366726307806358953e-01 6.248296432157197842e+02 4.818980329896491526e+02 6.038400000000000000e+04
4.429228297480427012e-01 6.143727877843322176e+02 4.714411775582615860e+02 6.217000000000000000e+04
4.491736915552866916e-01 6.008541628214920820e+02 4.579225525954214504e+02 6.383200000000000000e+04
4.554569188183393291e-01 5.896166309383795578e+02 4.466850207123089262e+02 6.627200000000000000e+04
4.617788911268420060e-01 5.779658278434601471e+02 4.350342176173895155e+02 6.860400000000000000e+04
4.680995906845802912e-01 5.645125190181025800e+02 4.215809087920319485e+02 6.982400000000000000e+04
4.743866829976556287e-01 5.576069094913867730e+02 4.146752992653161414e+02 7.159800000000000000e+04
4.806701266904181979e-01 5.495137715898165425e+02 4.065821613637459109e+02 7.363400000000000000e+04
4.869464029839004060e-01 5.417244028410302690e+02 3.987927926149596374e+02 7.514600000000000000e+04
4.932051255392171929e-01 5.317817719128227054e+02 3.888501616867520738e+02 7.732800000000000000e+04
4.994696626648479909e-01 5.218079465543962669e+02 3.788763363283256353e+02 7.884800000000000000e+04
5.057193073175597631e-01 5.107766751979846163e+02 3.678450649719139847e+02 8.116400000000000000e+04
5.119989495044070527e-01 5.108378772230191203e+02 3.679062669969484887e+02 8.364400000000000000e+04
5.183159826466314790e-01 4.984162479760869360e+02 3.554846377500163044e+02 8.615600000000000000e+04
5.246107092885408107e-01 4.936128402873817436e+02 3.506812300613111120e+02 8.741000000000000000e+04
5.308819677746196009e-01 4.821003391176447508e+02 3.391687288915741192e+02 8.933800000000000000e+04
5.371663275127862569e-01 4.813998012842990875e+02 3.384681910582284559e+02 9.246200000000000000e+04
5.434900758720350167e-01 4.744118468907459487e+02 3.314802366646753171e+02 9.450400000000000000e+04
5.497699542502575420e-01 4.648090053539074233e+02 3.218773951278367917e+02 9.565800000000000000e+04
5.560083363989032357e-01 4.579328755090917298e+02 3.150012652830210982e+02 9.759800000000000000e+04
