# # k, P(k),P(k)-shotnoise, Nmodes
1.538209950420127425e-01 1.382749812251629919e+04 1.377347577519992956e+04 7.448000000000000000e+03
1.600939799861342827e-01 1.369120668706952893e+04 1.363718433975315929e+04 8.252000000000000000e+03
1.664990542498203663e-01 1.310937069821113619e+04 1.305534835089476655e+04 9.032000000000000000e+03
1.728174132941030505e-01 1.285049246623927138e+04 1.279647011892290175e+04 9.454000000000000000e+03
1.789853057753862942e-01 1.230918122805964776e+04 1.225515888074327813e+04 9.842000000000000000e+03
1.852733873177464519e-01 1.222352040225204655e+04 1.216949805493567692e+04 1.128200000000000000e+04
1.915389716053957636e-01 1.164535646067355265e+04 1.159133411335718301e+04 1.131800000000000000e+04
1.978093968968032412e-01 1.135047276296319433e+04 1.129645041564682469e+04 1.268400000000000000e+04
2.041363739541903199e-01 1.146425697781952294e+04 1.141023463050315331e+04 1.328000000000000000e+04
2.104329801156032687e-01 1.100705265994090405e+04 1.095303031262453442e+04 1.408200000000000000e+04
2.167445339963977868e-01 1.071884935499637322e+04 1.066482700768000359e+04 1.513400000000000000e+04
2.230182219099299812e-01 1.048652785327260790e+04 1.043250550595623827e+04 1.561200000000000000e+04
2.292666160073620063e-01 1.026555366493524889e+04 1.021153131761887926e+04 1.673000000000000000e+04
2.355414553524693422e-01 1.024717595797192917e+04 1.019315361065555953e+04 1.765200000000000000e+04
2.418784335992887613e-01 9.951733500932687093e+03 9.897711153616317461e+03 1.889000000000000000e+04
2.481481271052154158e-01 9.815745529332572914e+03 9.761723182016203282e+03 1.929800000000000000e+04
2.543650879168818379e-01 9.530206200798804275e+03 9.476183853482434643e+03 2.047000000000000000e+04
2.606536864982170187e-01 9.619219795137447363e+03 9.565197447821077731e+03 2.174800000000000000e+04
2.669516384221341521e-01 9.495063092342526943e+03 9.441040745026157310e+03 2.269000000000000000e+04
2.732605699623428253e-01 9.276712820006800030e+03 9.222690472690430397e+03 2.392000000000000000e+04
2.796050098145749785e-01 9.211202040032456352e+03 9.157179692716086720e+03 2.524600000000000000e+04
2.858914879318384394e-01 9.037285819289485516e+03 8.983263471973115884e+03 2.568400000000000000e+04
2.920995948224677785e-01 8.961963184482197903e+03 8.907940837165828270e+03 2.681600000000000000e+04
2.983507476243664192e-01 8.971031002070098111e+03 8.917008654753728479e+03 2.844000000000000000e+04
3.046505408519667446e-01 8.726937281276947033e+03 8.672914933960577400e+03 2.953800000000000000e+04
