# # k, P(k),P(k)-shotnoise, Nmodes
6.565805265356863263e-01 7.240853355130067030e+03 7.188134779434152733e+03 1.379620000000000000e+05
6.628599596871522781e-01 7.137823695209747711e+03 7.085105119513833415e+03 1.390120000000000000e+05
6.691298853551562731e-01 7.204639452888874075e+03 7.151920877192959779e+03 1.425480000000000000e+05
6.754222718254296876e-01 7.187164894186693346e+03 7.134446318490779049e+03 1.458880000000000000e+05
6.816939054591842906e-01 7.160028745543234436e+03 7.107310169847320140e+03 1.465620000000000000e+05
6.879709791718701117e-01 7.118746657336708267e+03 7.066028081640793971e+03 1.517500000000000000e+05
6.942614105711022443e-01 7.116812699096649339e+03 7.064094123400735043e+03 1.526260000000000000e+05
7.005365424756659909e-01 7.103601551273980476e+03 7.050882975578066180e+03 1.565860000000000000e+05
7.068233029523925959e-01 7.117269136771065860e+03 7.064550561075151563e+03 1.590780000000000000e+05
7.131225830129004351e-01 7.063649651075894326e+03 7.010931075379980030e+03 1.622900000000000000e+05
7.194106404935602939e-01 7.137385360344605942e+03 7.084666784648691646e+03 1.647700000000000000e+05
7.256916467573152341e-01 7.136768289281283614e+03 7.084049713585369318e+03 1.674660000000000000e+05
7.319862263035085137e-01 7.064649967035094960e+03 7.011931391339180664e+03 1.713680000000000000e+05
7.382778109483263407e-01 7.100967496404966369e+03 7.048248920709052072e+03 1.730960000000000000e+05
7.445474719729404667e-01 7.104976096926636274e+03 7.052257521230721977e+03 1.760120000000000000e+05
7.508031991267573035e-01 7.091677837560891021e+03 7.038959261864976725e+03 1.785720000000000000e+05
7.570835243855718044e-01 7.085236715972737329e+03 7.032518140276823033e+03 1.828740000000000000e+05
7.633725915964089115e-01 7.029939157096570852e+03 6.977220581400656556e+03 1.855560000000000000e+05
7.696559165320593365e-01 7.061581198385213611e+03 7.008862622689299315e+03 1.883800000000000000e+05
7.759472068200509165e-01 7.028612660270267043e+03 6.975894084574352746e+03 1.923620000000000000e+05
7.822420857509159164e-01 7.051228193692714740e+03 6.998509617996800444e+03 1.948920000000000000e+05
7.885501419914293653e-01 6.962050252849960088e+03 6.909331677154045792e+03 1.992240000000000000e+05
7.948038474963337041e-01 7.008193194658294487e+03 6.955474618962380191e+03 1.980620000000000000e+05
8.010520907109800470e-01 7.012186887916593150e+03 6.959468312220678854e+03 2.048760000000000000e+05
8.073556460726576400e-01 7.018387427713530087e+03 6.965668852017615791e+03 2.082080000000000000e+05
8.136472652876408640e-01 6.979739074931909272e+03 6.927020499235994976e+03 2.106380000000000000e+05
8.199328051877485812e-01 7.011856594276484429e+03 6.959138018580570133e+03 2.141460000000000000e+05
8.262092250684122119e-01 6.975097526325290346e+03 6.922378950629376050e+03 2.167700000000000000e+05
8.325052758042271739e-01 6.969864130253211442e+03 6.917145554557297146e+03 2.218980000000000000e+05
8.388116654351844836e-01 6.939110533833215413e+03 6.886391958137301117e+03 2.244000000000000000e+05
8.450849103364239667e-01 6.973646735404161518e+03 6.920928159708247222e+03 2.263060000000000000e+05
8.513462727474617742e-01 6.930352864564512856e+03 6.877634288868598560e+03 2.298240000000000000e+05
8.576284146508676987e-01 6.953684881115966164e+03 6.900966305420051867e+03 2.351900000000000000e+05
8.639203271423162578e-01 6.919867793016540418e+03 6.867149217320626121e+03 2.369960000000000000e+05
8.702001278720664645e-01 6.926327695929012407e+03 6.873609120233098110e+03 2.415680000000000000e+05
8.764772930847268828e-01 6.885251756603651302e+03 6.832533180907737005e+03 2.433340000000000000e+05
8.827715178895144676e-01 6.899292732471933050e+03 6.846574156776018754e+03 2.500580000000000000e+05
8.890536686845070813e-01 6.890569557216032990e+03 6.837850981520118694e+03 2.498260000000000000e+05
8.953222746762443673e-01 6.883614147597339070e+03 6.830895571901424773e+03 2.554020000000000000e+05
9.016064535102598088e-01 6.849999973888893692e+03 6.797281398192979395e+03 2.588880000000000000e+05
9.078934899700541461e-01 6.864785844981962327e+03 6.812067269286048031e+03 2.622400000000000000e+05
9.141879395382898066e-01 6.823467760119114246e+03 6.770749184423199949e+03 2.673220000000000000e+05
9.204870069999977478e-01 6.813197177098645625e+03 6.760478601402731329e+03 2.697820000000000000e+05
9.267634485314798498e-01 6.831435139803791571e+03 6.778716564107877275e+03 2.725480000000000000e+05
9.330398908859652840e-01 6.839763654422691616e+03 6.787045078726777319e+03 2.775220000000000000e+05
9.393419790538620751e-01 6.797986487408011271e+03 6.745267911712096975e+03 2.819920000000000000e+05
