# # k, P(k),P(k)-shotnoise, Nmodes
1.915389716053957636e-01 1.042611417960302060e+04 1.037450655833401288e+04 1.131800000000000000e+04
1.978093968968032412e-01 1.044231273463296202e+04 1.039070511336395430e+04 1.268400000000000000e+04
2.041363739541903199e-01 1.037526738522991218e+04 1.032365976396090446e+04 1.328000000000000000e+04
2.104329801156032687e-01 9.917649670174112543e+03 9.866042048905104821e+03 1.408200000000000000e+04
2.167445339963977868e-01 1.001217933804860877e+04 9.960571716779601047e+03 1.513400000000000000e+04
2.230182219099299812e-01 9.862675188681738291e+03 9.811067567412730568e+03 1.561200000000000000e+04
2.292666160073620063e-01 9.704448151588660039e+03 9.652840530319652316e+03 1.673000000000000000e+04
2.355414553524693422e-01 9.663461685716723878e+03 9.611854064447716155e+03 1.765200000000000000e+04
2.418784335992887613e-01 9.576691892753147840e+03 9.525084271484140118e+03 1.889000000000000000e+04
2.481481271052154158e-01 9.402686466226105040e+03 9.351078844957097317e+03 1.929800000000000000e+04
2.543650879168818379e-01 9.413437335993183297e+03 9.361829714724175574e+03 2.047000000000000000e+04
2.606536864982170187e-01 9.245950558909338724e+03 9.194342937640331002e+03 2.174800000000000000e+04
2.669516384221341521e-01 9.279665232682546048e+03 9.228057611413538325e+03 2.269000000000000000e+04
2.732605699623428253e-01 9.221607173857833914e+03 9.169999552588826191e+03 2.392000000000000000e+04
2.796050098145749785e-01 9.220115163786056655e+03 9.168507542517048932e+03 2.524600000000000000e+04
2.858914879318384394e-01 9.126978741028753575e+03 9.075371119759745852e+03 2.568400000000000000e+04
2.920995948224677785e-01 8.981877652292894709e+03 8.930270031023886986e+03 2.681600000000000000e+04
2.983507476243664192e-01 8.985320252175162750e+03 8.933712630906155027e+03 2.844000000000000000e+04
3.046505408519667446e-01 9.017981029978574952e+03 8.966373408709567229e+03 2.953800000000000000e+04
3.109471038444538982e-01 8.808667931190335366e+03 8.757060309921327644e+03 3.094400000000000000e+04
3.172476750734718465e-01 8.816406580954619130e+03 8.764798959685611408e+03 3.198000000000000000e+04
3.235400448401911655e-01 8.864532765772662970e+03 8.812925144503655247e+03 3.352600000000000000e+04
3.298240459879566155e-01 8.767535501504407875e+03 8.715927880235400153e+03 3.446400000000000000e+04
3.361484519828671913e-01 8.807611492092068147e+03 8.756003870823060424e+03 3.651400000000000000e+04
3.424245328606954630e-01 8.737709852600464728e+03 8.686102231331457006e+03 3.675800000000000000e+04
3.486779824429606656e-01 8.747837697565508279e+03 8.696230076296500556e+03 3.881000000000000000e+04
3.549863988041813134e-01 8.666772176897873578e+03 8.615164555628865855e+03 4.041000000000000000e+04
3.612333738091870750e-01 8.471023558784751003e+03 8.419415937515743281e+03 4.071400000000000000e+04
3.675042092955584372e-01 8.586610890212017694e+03 8.535003268943009971e+03 4.367000000000000000e+04
3.737994570270907757e-01 8.492175605417518454e+03 8.440567984148510732e+03 4.398600000000000000e+04
3.800864636623462745e-01 8.561510807008193296e+03 8.509903185739185574e+03 4.642800000000000000e+04
3.863718149601460539e-01 8.599725357030803934e+03 8.548117735761796212e+03 4.723600000000000000e+04
3.926652062093009543e-01 8.485837067651566031e+03 8.434229446382558308e+03 4.938600000000000000e+04
3.989690954083237040e-01 8.446350868066063413e+03 8.394743246797055690e+03 5.079600000000000000e+04
4.052314429539636831e-01 8.474061739132002913e+03 8.422454117862995190e+03 5.174000000000000000e+04
4.115238727386639761e-01 8.311101580493792426e+03 8.259493959224784703e+03 5.460200000000000000e+04
4.178033403078543762e-01 8.390274510927049050e+03 8.338666889658041327e+03 5.484400000000000000e+04
4.240515472996450597e-01 8.384002790628821458e+03 8.332395169359813735e+03 5.723200000000000000e+04
4.303677505012359350e-01 8.336821251650098930e+03 8.285213630381091207e+03 5.964800000000000000e+04
4.366726307806358953e-01 8.344907289276810843e+03 8.293299668007803120e+03 6.038400000000000000e+04
4.429228297480427012e-01 8.366057710775688975e+03 8.314450089506681252e+03 6.217000000000000000e+04
4.491736915552866916e-01 8.324654378241255472e+03 8.273046756972247749e+03 6.383200000000000000e+04
4.554569188183393291e-01 8.279883216098171033e+03 8.228275594829163310e+03 6.627200000000000000e+04
4.617788911268420060e-01 8.251808986149015254e+03 8.200201364880007532e+03 6.860400000000000000e+04
4.680995906845802912e-01 8.260387594385920238e+03 8.208779973116912515e+03 6.982400000000000000e+04
4.743866829976556287e-01 8.218244354776603359e+03 8.166636733507595636e+03 7.159800000000000000e+04
4.806701266904181979e-01 8.251297226351727659e+03 8.199689605082719936e+03 7.363400000000000000e+04
4.869464029839004060e-01 8.141772803641538303e+03 8.090165182372530580e+03 7.514600000000000000e+04
4.932051255392171929e-01 8.103109712515360116e+03 8.051502091246352393e+03 7.732800000000000000e+04
4.994696626648479909e-01 8.187464941796280982e+03 8.135857320527273259e+03 7.884800000000000000e+04
5.057193073175597631e-01 8.177677643872011686e+03 8.126070022603003963e+03 8.116400000000000000e+04
5.119989495044070527e-01 8.171314813638500709e+03 8.119707192369492986e+03 8.364400000000000000e+04
5.183159826466314790e-01 8.065121929987182739e+03 8.013514308718175016e+03 8.615600000000000000e+04
5.246107092885408107e-01 8.127191585734837645e+03 8.075583964465829922e+03 8.741000000000000000e+04
5.308819677746196009e-01 8.141697481169737330e+03 8.090089859900729607e+03 8.933800000000000000e+04
5.371663275127862569e-01 8.104247868431320057e+03 8.052640247162312335e+03 9.246200000000000000e+04
5.434900758720350167e-01 8.058239721446073418e+03 8.006632100177065695e+03 9.450400000000000000e+04
5.497699542502575420e-01 8.013024956518568615e+03 7.961417335249560892e+03 9.565800000000000000e+04
5.560083363989032357e-01 8.076960487088366790e+03 8.025352865819359067e+03 9.759800000000000000e+04
