# # k, P(k),P(k)-shotnoise, Nmodes
3.737994570270907757e-01 7.307531812192611369e+02 5.685856894443962801e+02 4.398600000000000000e+04
3.800864636623462745e-01 7.155391041167920321e+02 5.533716123419271753e+02 4.642800000000000000e+04
3.863718149601460539e-01 7.013470590347873213e+02 5.391795672599224645e+02 4.723600000000000000e+04
3.926652062093009543e-01 6.785564190310374215e+02 5.163889272561725647e+02 4.938600000000000000e+04
3.989690954083237040e-01 6.694468486571819312e+02 5.072793568823170745e+02 5.079600000000000000e+04
4.052314429539636831e-01 6.566639353595388684e+02 4.944964435846740116e+02 5.174000000000000000e+04
4.115238727386639761e-01 6.389680825495299814e+02 4.768005907746651246e+02 5.460200000000000000e+04
4.178033403078543762e-01 6.292515470441320531e+02 4.670840552692671963e+02 5.484400000000000000e+04
4.240515472996450597e-01 6.214890122644417261e+02 4.593215204895768693e+02 5.723200000000000000e+04
4.303677505012359350e-01 6.141555428190083603e+02 4.519880510441435035e+02 5.964800000000000000e+04
4.366726307806358953e-01 5.994679466705997584e+02 4.373004548957349016e+02 6.038400000000000000e+04
4.429228297480427012e-01 5.972237781641135825e+02 4.350562863892487258e+02 6.217000000000000000e+04
4.491736915552866916e-01 5.829903704523286478e+02 4.208228786774637911e+02 6.383200000000000000e+04
4.554569188183393291e-01 5.707829141649325493e+02 4.086154223900676925e+02 6.627200000000000000e+04
4.617788911268420060e-01 5.627480388075281326e+02 4.005805470326632758e+02 6.860400000000000000e+04
4.680995906845802912e-01 5.517209567937504744e+02 3.895534650188856176e+02 6.982400000000000000e+04
4.743866829976556287e-01 5.446048869061412461e+02 3.824373951312763893e+02 7.159800000000000000e+04
4.806701266904181979e-01 5.363070601762238994e+02 3.741395684013590426e+02 7.363400000000000000e+04
4.869464029839004060e-01 5.290749465098226665e+02 3.669074547349578097e+02 7.514600000000000000e+04
4.932051255392171929e-01 5.219801176994257048e+02 3.598126259245608480e+02 7.732800000000000000e+04
4.994696626648479909e-01 5.118990338507677507e+02 3.497315420759028939e+02 7.884800000000000000e+04
5.057193073175597631e-01 5.054206979454172028e+02 3.432532061705524029e+02 8.116400000000000000e+04
5.119989495044070527e-01 5.015414562020300764e+02 3.393739644271652196e+02 8.364400000000000000e+04
5.183159826466314790e-01 4.923127119453673117e+02 3.301452201705025118e+02 8.615600000000000000e+04
5.246107092885408107e-01 4.836386991397304769e+02 3.214712073648656769e+02 8.741000000000000000e+04
5.308819677746196009e-01 4.765237654747866145e+02 3.143562736999217577e+02 8.933800000000000000e+04
5.371663275127862569e-01 4.737234076862630445e+02 3.115559159113981877e+02 9.246200000000000000e+04
5.434900758720350167e-01 4.705091851994323520e+02 3.083416934245675520e+02 9.450400000000000000e+04
5.497699542502575420e-01 4.600586420871494511e+02 2.978911503122845943e+02 9.565800000000000000e+04
5.560083363989032357e-01 4.550059165962886141e+02 2.928384248214238141e+02 9.759800000000000000e+04
5.623114537777685884e-01 4.481748742400101833e+02 2.860073824651453833e+02 1.019620000000000000e+05
5.686318313430648308e-01 4.438953878315559791e+02 2.817278960566911792e+02 1.029860000000000000e+05
5.748997298340194906e-01 4.414157988093386393e+02 2.792483070344737826e+02 1.044280000000000000e+05
5.811784316152807106e-01 4.358554365404152122e+02 2.736879447655503554e+02 1.082760000000000000e+05
5.874623501555152894e-01 4.320286834119692116e+02 2.698611916371044117e+02 1.091300000000000000e+05
5.937358705487374433e-01 4.226904722109835575e+02 2.605229804361187007e+02 1.124920000000000000e+05
6.000132321575981642e-01 4.217385113237448877e+02 2.595710195488800309e+02 1.142380000000000000e+05
6.062764279011477742e-01 4.166516850261864988e+02 2.544841932513216705e+02 1.165200000000000000e+05
6.125579126729602253e-01 4.113105007817767955e+02 2.491430090069119672e+02 1.198680000000000000e+05
6.188758883571132685e-01 4.091977193066229574e+02 2.470302275317581291e+02 1.227600000000000000e+05
6.251574688191492424e-01 4.063079987136769660e+02 2.441405069388121376e+02 1.235740000000000000e+05
6.314078328527679140e-01 4.013104235770299510e+02 2.391429318021651227e+02 1.265060000000000000e+05
6.377090179731219610e-01 3.956576895258784816e+02 2.334901977510136533e+02 1.303720000000000000e+05
