# # k, P(k),P(k)-shotnoise, Nmodes
5.748997298340194906e-01 3.437123295971152857e+02 2.005877687211586249e+02 1.044280000000000000e+05
5.811784316152807106e-01 3.391510057903626034e+02 1.960264449144059427e+02 1.082760000000000000e+05
5.874623501555152894e-01 3.379975111759860056e+02 1.948729503000293448e+02 1.091300000000000000e+05
5.937358705487374433e-01 3.333563094109794633e+02 1.902317485350228026e+02 1.124920000000000000e+05
6.000132321575981642e-01 3.329499116200701678e+02 1.898253507441135071e+02 1.142380000000000000e+05
6.062764279011477742e-01 3.301339668651818329e+02 1.870094059892251721e+02 1.165200000000000000e+05
6.125579126729602253e-01 3.262225645042924498e+02 1.830980036283357890e+02 1.198680000000000000e+05
6.188758883571132685e-01 3.224537635388989543e+02 1.793292026629422935e+02 1.227600000000000000e+05
6.251574688191492424e-01 3.190318024585538978e+02 1.759072415825972371e+02 1.235740000000000000e+05
6.314078328527679140e-01 3.172156367914692510e+02 1.740910759155125902e+02 1.265060000000000000e+05
6.377090179731219610e-01 3.131988324654444682e+02 1.700742715894878074e+02 1.303720000000000000e+05
6.440064460832264359e-01 3.116774283945154025e+02 1.685528675185587417e+02 1.318120000000000000e+05
6.502830651582106603e-01 3.075429142760017953e+02 1.644183534000451345e+02 1.344920000000000000e+05
6.565805265356863263e-01 3.087217253497261709e+02 1.655971644737695101e+02 1.379620000000000000e+05
6.628599596871522781e-01 3.023601166176351853e+02 1.592355557416785246e+02 1.390120000000000000e+05
6.691298853551562731e-01 3.004490556219341215e+02 1.573244947459774608e+02 1.425480000000000000e+05
6.754222718254296876e-01 2.992735085650921292e+02 1.561489476891354684e+02 1.458880000000000000e+05
6.816939054591842906e-01 2.967297758323202856e+02 1.536052149563636249e+02 1.465620000000000000e+05
6.879709791718701117e-01 2.957483911220268169e+02 1.526238302460701561e+02 1.517500000000000000e+05
6.942614105711022443e-01 2.921678390091262258e+02 1.490432781331695651e+02 1.526260000000000000e+05
7.005365424756659909e-01 2.880486934173006262e+02 1.449241325413439654e+02 1.565860000000000000e+05
7.068233029523925959e-01 2.883054256318425246e+02 1.451808647558858638e+02 1.590780000000000000e+05
7.131225830129004351e-01 2.851517209062496931e+02 1.420271600302930324e+02 1.622900000000000000e+05
7.194106404935602939e-01 2.833161348932366081e+02 1.401915740172799474e+02 1.647700000000000000e+05
7.256916467573152341e-01 2.820109096959737371e+02 1.388863488200170764e+02 1.674660000000000000e+05
7.319862263035085137e-01 2.794798616653696968e+02 1.363553007894130360e+02 1.713680000000000000e+05
7.382778109483263407e-01 2.785671032452510758e+02 1.354425423692944150e+02 1.730960000000000000e+05
7.445474719729404667e-01 2.755442716665139073e+02 1.324197107905572466e+02 1.760120000000000000e+05
7.508031991267573035e-01 2.714625614700140659e+02 1.283380005940574051e+02 1.785720000000000000e+05
