# # k, P(k),P(k)-shotnoise, Nmodes
6.062764279011477742e-01 7.486179698309470041e+03 7.433006401003526662e+03 1.165200000000000000e+05
6.125579126729602253e-01 7.405430822886518399e+03 7.352257525580575020e+03 1.198680000000000000e+05
6.188758883571132685e-01 7.405188270450948949e+03 7.352014973145005570e+03 1.227600000000000000e+05
6.251574688191492424e-01 7.433326173320442649e+03 7.380152876014499270e+03 1.235740000000000000e+05
6.314078328527679140e-01 7.381275287484703767e+03 7.328101990178760389e+03 1.265060000000000000e+05
6.377090179731219610e-01 7.382021867421200113e+03 7.328848570115256734e+03 1.303720000000000000e+05
6.440064460832264359e-01 7.347455245931003446e+03 7.294281948625060068e+03 1.318120000000000000e+05
6.502830651582106603e-01 7.331219710297350503e+03 7.278046412991407124e+03 1.344920000000000000e+05
6.565805265356863263e-01 7.331331034459193688e+03 7.278157737153250309e+03 1.379620000000000000e+05
6.628599596871522781e-01 7.351941666284380517e+03 7.298768368978437138e+03 1.390120000000000000e+05
6.691298853551562731e-01 7.304740447095107811e+03 7.251567149789164432e+03 1.425480000000000000e+05
6.754222718254296876e-01 7.248763992162010254e+03 7.195590694856066875e+03 1.458880000000000000e+05
6.816939054591842906e-01 7.229299872161774147e+03 7.176126574855830768e+03 1.465620000000000000e+05
6.879709791718701117e-01 7.229859302409967313e+03 7.176686005104023934e+03 1.517500000000000000e+05
6.942614105711022443e-01 7.205972021001793109e+03 7.152798723695849731e+03 1.526260000000000000e+05
7.005365424756659909e-01 7.201119021928886468e+03 7.147945724622943089e+03 1.565860000000000000e+05
7.068233029523925959e-01 7.161466977637714081e+03 7.108293680331770702e+03 1.590780000000000000e+05
7.131225830129004351e-01 7.159512311373322518e+03 7.106339014067379139e+03 1.622900000000000000e+05
7.194106404935602939e-01 7.149518539737629908e+03 7.096345242431686529e+03 1.647700000000000000e+05
7.256916467573152341e-01 7.140457905255384503e+03 7.087284607949441124e+03 1.674660000000000000e+05
7.319862263035085137e-01 7.121983809366284731e+03 7.068810512060341352e+03 1.713680000000000000e+05
7.382778109483263407e-01 7.091051412200681625e+03 7.037878114894738246e+03 1.730960000000000000e+05
7.445474719729404667e-01 7.087096702105078293e+03 7.033923404799134914e+03 1.760120000000000000e+05
7.508031991267573035e-01 7.123449213903625605e+03 7.070275916597682226e+03 1.785720000000000000e+05
7.570835243855718044e-01 7.102328258852257022e+03 7.049154961546313643e+03 1.828740000000000000e+05
7.633725915964089115e-01 7.057094825797141311e+03 7.003921528491197932e+03 1.855560000000000000e+05
7.696559165320593365e-01 7.028646906443479565e+03 6.975473609137536187e+03 1.883800000000000000e+05
7.759472068200509165e-01 7.021694286729679334e+03 6.968520989423735955e+03 1.923620000000000000e+05
7.822420857509159164e-01 7.006401889088415373e+03 6.953228591782471995e+03 1.948920000000000000e+05
7.885501419914293653e-01 7.004429837841129483e+03 6.951256540535186105e+03 1.992240000000000000e+05
7.948038474963337041e-01 6.938797791233732823e+03 6.885624493927789445e+03 1.980620000000000000e+05
8.010520907109800470e-01 6.944174226377312152e+03 6.891000929071368773e+03 2.048760000000000000e+05
8.073556460726576400e-01 6.971069217320265125e+03 6.917895920014321746e+03 2.082080000000000000e+05
8.136472652876408640e-01 6.928662807769854226e+03 6.875489510463910847e+03 2.106380000000000000e+05
8.199328051877485812e-01 6.982874332624642193e+03 6.929701035318698814e+03 2.141460000000000000e+05
8.262092250684122119e-01 6.881474697266067778e+03 6.828301399960124400e+03 2.167700000000000000e+05
8.325052758042271739e-01 6.893985737361913380e+03 6.840812440055970001e+03 2.218980000000000000e+05
8.388116654351844836e-01 6.889645471017390264e+03 6.836472173711446885e+03 2.244000000000000000e+05
8.450849103364239667e-01 6.897473509093119901e+03 6.844300211787176522e+03 2.263060000000000000e+05
8.513462727474617742e-01 6.853623803550841330e+03 6.800450506244897952e+03 2.298240000000000000e+05
8.576284146508676987e-01 6.859425080233105291e+03 6.806251782927161912e+03 2.351900000000000000e+05
8.639203271423162578e-01 6.862917906608114208e+03 6.809744609302170829e+03 2.369960000000000000e+05
8.702001278720664645e-01 6.819904684456927498e+03 6.766731387150984119e+03 2.415680000000000000e+05
8.764772930847268828e-01 6.817511866937502418e+03 6.764338569631559039e+03 2.433340000000000000e+05
8.827715178895144676e-01 6.829773237996220814e+03 6.776599940690277435e+03 2.500580000000000000e+05
8.890536686845070813e-01 6.795640271651413059e+03 6.742466974345469680e+03 2.498260000000000000e+05
8.953222746762443673e-01 6.819952096096893911e+03 6.766778798790950532e+03 2.554020000000000000e+05
9.016064535102598088e-01 6.778951751932070692e+03 6.725778454626127314e+03 2.588880000000000000e+05
9.078934899700541461e-01 6.764288583364430451e+03 6.711115286058487072e+03 2.622400000000000000e+05
9.141879395382898066e-01 6.761140461321554540e+03 6.707967164015611161e+03 2.673220000000000000e+05
9.204870069999977478e-01 6.774413964985523307e+03 6.721240667679579929e+03 2.697820000000000000e+05
9.267634485314798498e-01 6.725572695319155173e+03 6.672399398013211794e+03 2.725480000000000000e+05
9.330398908859652840e-01 6.699062031248057792e+03 6.645888733942114413e+03 2.775220000000000000e+05
9.393419790538620751e-01 6.713493674065034611e+03 6.660320376759091232e+03 2.819920000000000000e+05
9.456138811139273015e-01 6.691525390776619133e+03 6.638352093470675754e+03 2.827100000000000000e+05
9.518752143586322045e-01 6.684441151651862128e+03 6.631267854345918749e+03 2.881620000000000000e+05
9.581565932480536896e-01 6.638552950879859054e+03 6.585379653573915675e+03 2.922500000000000000e+05
9.644556692432024736e-01 6.633194571098877532e+03 6.580021273792934153e+03 2.976780000000000000e+05
9.707473583964632002e-01 6.667476911537311025e+03 6.614303614231367646e+03 2.990500000000000000e+05
9.770167227541187716e-01 6.637748087674717681e+03 6.584574790368774302e+03 3.035940000000000000e+05
9.832935359933105968e-01 6.643312195325023822e+03 6.590138898019080443e+03 3.072180000000000000e+05
9.895688562506220753e-01 6.629385523193747758e+03 6.576212225887804379e+03 3.115520000000000000e+05
9.958591531227547478e-01 6.581100020238275647e+03 6.527926722932332268e+03 3.166400000000000000e+05
1.002144834684193242e+00 6.601198741782334764e+03 6.548025444476391385e+03 3.188100000000000000e+05
1.008417393835248532e+00 6.598723258894498940e+03 6.545549961588555561e+03 3.236140000000000000e+05
